| Endereco Virtual: 100001110 | Endereco Fisico: 7368 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100001111 | Endereco Fisico: 7369 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100010000 | Endereco Fisico: 7378 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100010001 | Endereco Fisico: 7379 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100010010 | Endereco Fisico: 7468 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100010011 | Endereco Fisico: 7469 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100010100 | Endereco Fisico: 7478 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100010101 | Endereco Fisico: 7479 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100010110 | Endereco Fisico: 8176 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100010111 | Endereco Fisico: 8177 | Tamanho: 4096 | id: 14
| Endereco Virtual: 100011000 | Endereco Fisico: 8186 | Tamanho: 4096 | id: 15
| Endereco Virtual: 100011001 | Endereco Fisico: 8187 | Tamanho: 4096 | id: 15
| Endereco Virtual: 100011010 | Endereco Fisico: 4180 | Tamanho: 4096 | id: 15
| Endereco Virtual: 100011011 | Endereco Fisico: 4181 | Tamanho: 4096 | id: 15
